athlete,gender,region,wod,score,rank,overall_score,overall_rank
Frederik Engelbrecht,m,africa,14_1,261,312,380,49
Ludwig Viljoen,m,africa,14_1,270,212,448,58
Felix Malan,m,africa,14_1,284,180,449,59
Ben Schempers,m,africa,14_1,289,168,383,50
Chris Seymour,m,africa,14_1,290,163,421,53
Grant Moseby,m,africa,14_1,301,128,306,36
Quinton Z Van Rooyen,m,africa,14_1,301,128,323,40
Matthew Smith,m,africa,14_1,301,128,343,42
Billy Pullen,m,africa,14_1,305,106,196,21
werner olivier,m,africa,14_1,305,106,442,56
Julian Reichman,m,africa,14_1,306,99,440,55
Paul Hofman,m,africa,14_1,307,92,442,56
Hannes du Toit,m,africa,14_1,308,86,313,38
Pierre Ferreira,m,africa,14_1,309,78,352,43
Garth High,m,africa,14_1,310,69,185,19
Brandon Graham,m,africa,14_1,310,69,284,33
Pierre Oelofsen,m,africa,14_1,310,69,289,34
Brad Wolff,m,africa,14_1,311,66,154,14
Andre Gadney,m,africa,14_1,311,66,155,15
Adham Salloum,m,africa,14_1,312,62,363,47
Louis Achadinha,m,africa,14_1,315,55,104,10
Antony Swanepoel,m,africa,14_1,316,53,247,30
Jannus Du Preez,m,africa,14_1,316,53,423,54
Cillie Malan,m,africa,14_1,318,50,242,28
Kyle Howard,m,africa,14_1,324,46,226,25
Gregory Dalton,m,africa,14_1,324,46,271,32
Gerhard van der Merwe,m,africa,14_1,326,45,206,22
Haitham Mahgoub,m,africa,14_1,327,44,324,41
Frik OCallaghan,m,africa,14_1,328,42,310,37
Tyron Hatch,m,africa,14_1,328,42,358,45
Ivan Kruger,m,africa,14_1,329,41,187,20
Mark Lubbe,m,africa,14_1,331,40,370,48
Nico van der Walt,m,africa,14_1,332,39,292,35
JP Knipe,m,africa,14_1,333,37,407,52
Muhammad Al Deeb,m,africa,14_1,337,36,360,46
Andre Olivier,m,africa,14_1,341,33,242,28
Estian Ferreira,m,africa,14_1,343,31,147,13
Jaco Van der Vyver,m,africa,14_1,345,24,59,5
Cameron Mitchell,m,africa,14_1,345,24,175,16
Sean Tangney,m,africa,14_1,345,24,215,23
Karim Maamoun,m,africa,14_1,345,24,234,27
Grant Bydawell,m,africa,14_1,345,24,247,30
Jacques Du Toit,m,africa,14_1,346,23,352,43
Jean du Plessis,m,africa,14_1,347,20,231,26
Nicholas Bordalo,m,africa,14_1,347,20,397,51
Carl Du Plessis,m,africa,14_1,348,16,135,11
Mourad Gaber,m,africa,14_1,348,16,460,60
Roman Chausse,m,africa,14_1,349,15,178,17
David Levey,m,africa,14_1,350,14,68,7
Dean Shaw,m,africa,14_1,352,12,103,9
Leon Manders,m,africa,14_1,353,11,139,12
Mohamed Abou Auf,m,africa,14_1,354,10,64,6
Johann Werth,m,africa,14_1,355,8,45,3
Alan Foulis,m,africa,14_1,355,8,89,8
Brendon Bantjes,m,africa,14_1,359,7,313,38
Jean-Claude Jar dim,m,africa,14_1,360,5,38,2
Andrew Martin,m,africa,14_1,360,5,183,18
Wade Bothwell,m,africa,14_1,367,3,220,24
Richard Smith,m,africa,14_1,390,2,55,4
Jason Smith,m,africa,14_1,422,1,21,1
Jacques Du Toit,m,africa,14_2,128,128,352,43
JP Knipe,m,africa,14_2,129,121,407,52
Mourad Gaber,m,africa,14_2,130,111,460,60
Kyle Howard,m,africa,14_2,131,104,226,25
Brendon Bantjes,m,africa,14_2,131,104,313,38
werner olivier,m,africa,14_2,133,94,442,56
Frik OCallaghan,m,africa,14_2,134,85,310,37
Matthew Smith,m,africa,14_2,134,85,343,42
Jannus Du Preez,m,africa,14_2,134,85,423,54
Antony Swanepoel,m,africa,14_2,135,75,247,30
Haitham Mahgoub,m,africa,14_2,136,72,324,41
Chris Seymour,m,africa,14_2,136,72,421,53
Jean du Plessis,m,africa,14_2,137,68,231,26
Gregory Dalton,m,africa,14_2,137,68,271,32
Nico van der Walt,m,africa,14_2,137,68,292,35
Quinton Z Van Rooyen,m,africa,14_2,138,62,323,40
Leon Manders,m,africa,14_2,139,55,139,12
Andrew Martin,m,africa,14_2,139,55,183,18
Brandon Graham,m,africa,14_2,139,55,284,33
Andre Olivier,m,africa,14_2,140,49,242,28
Pierre Oelofsen,m,africa,14_2,140,49,289,34
Tyron Hatch,m,africa,14_2,140,49,358,45
Nicholas Bordalo,m,africa,14_2,140,49,397,51
Karim Maamoun,m,africa,14_2,141,46,234,27
Adham Salloum,m,africa,14_2,141,46,363,47
Alan Foulis,m,africa,14_2,142,43,89,8
Grant Moseby,m,africa,14_2,142,43,306,36
Wade Bothwell,m,africa,14_2,143,40,220,24
Muhammad Al Deeb,m,africa,14_2,143,40,360,46
Felix Malan,m,africa,14_2,143,40,449,59
Paul Hofman,m,africa,14_2,146,39,442,56
Grant Bydawell,m,africa,14_2,163,37,247,30
Pierre Ferreira,m,africa,14_2,167,36,352,43
Cillie Malan,m,africa,14_2,170,34,242,28
Ludwig Viljoen,m,africa,14_2,170,34,448,58
Cameron Mitchell,m,africa,14_2,176,30,175,16
Mark Lubbe,m,africa,14_2,176,30,370,48
Ben Schempers,m,africa,14_2,178,29,383,50
Hannes du Toit,m,africa,14_2,180,28,313,38
Johann Werth,m,africa,14_2,185,23,45,3
Sean Tangney,m,africa,14_2,185,23,215,23
Brad Wolff,m,africa,14_2,188,20,154,14
Garth High,m,africa,14_2,188,20,185,19
Billy Pullen,m,africa,14_2,188,20,196,21
Roman Chausse,m,africa,14_2,189,19,178,17
Carl Du Plessis,m,africa,14_2,190,18,135,11
Ivan Kruger,m,africa,14_2,191,16,187,20
Jean-Claude Jar dim,m,africa,14_2,193,13,38,2
Mohamed Abou Auf,m,africa,14_2,193,13,64,6
Louis Achadinha,m,africa,14_2,193,13,104,10
Andre Gadney,m,africa,14_2,194,11,155,15
Estian Ferreira,m,africa,14_2,195,10,147,13
Richard Smith,m,africa,14_2,200,8,55,4
Julian Reichman,m,africa,14_2,200,8,440,55
Dean Shaw,m,africa,14_2,204,6,103,9
Frederik Engelbrecht,m,africa,14_2,206,5,380,49
Jason Smith,m,africa,14_2,234,4,21,1
Jaco Van der Vyver,m,africa,14_2,244,3,59,5
Gerhard van der Merwe,m,africa,14_2,259,2,206,22
David Levey,m,africa,14_2,262,1,68,7
Julian Reichman,m,africa,14_3,121,307,440,55
Nicholas Bordalo,m,africa,14_3,130,223,397,51
Paul Hofman,m,africa,14_3,130,223,442,56
Mourad Gaber,m,africa,14_3,130,185,460,60
Tyron Hatch,m,africa,14_3,131,141,358,45
Frik OCallaghan,m,africa,14_3,132,129,310,37
Adham Salloum,m,africa,14_3,132,127,363,47
Gerhard van der Merwe,m,africa,14_3,134,113,206,22
Gregory Dalton,m,africa,14_3,134,104,271,32
Muhammad Al Deeb,m,africa,14_3,134,100,360,46
werner olivier,m,africa,14_3,134,118,442,56
Wade Bothwell,m,africa,14_3,135,94,220,24
Brandon Graham,m,africa,14_3,135,92,284,33
Andre Olivier,m,africa,14_3,136,88,242,28
Pierre Oelofsen,m,africa,14_3,137,79,289,34
Mark Lubbe,m,africa,14_3,137,83,370,48
Felix Malan,m,africa,14_3,137,86,449,59
Garth High,m,africa,14_3,138,67,185,19
Sean Tangney,m,africa,14_3,138,70,215,23
Ludwig Viljoen,m,africa,14_3,139,59,448,58
Dean Shaw,m,africa,14_3,140,54,103,9
Carl Du Plessis,m,africa,14_3,140,48,135,11
Ivan Kruger,m,africa,14_3,140,57,187,20
Billy Pullen,m,africa,14_3,140,47,196,21
Antony Swanepoel,m,africa,14_3,140,49,247,30
Hannes du Toit,m,africa,14_3,140,51,313,38
Chris Seymour,m,africa,14_3,140,52,421,53
Jannus Du Preez,m,africa,14_3,140,45,423,54
Estian Ferreira,m,africa,14_3,141,44,147,13
Andre Gadney,m,africa,14_3,141,42,155,15
Jean du Plessis,m,africa,14_3,141,40,231,26
Grant Moseby,m,africa,14_3,141,39,306,36
Pierre Ferreira,m,africa,14_3,141,43,352,43
Ben Schempers,m,africa,14_3,141,41,383,50
Richard Smith,m,africa,14_3,142,32,55,4
Cameron Mitchell,m,africa,14_3,142,35,175,16
Roman Chausse,m,africa,14_3,142,31,178,17
Jacques Du Toit,m,africa,14_3,142,37,352,43
Brad Wolff,m,africa,14_3,143,28,154,14
Cillie Malan,m,africa,14_3,143,26,242,28
Nico van der Walt,m,africa,14_3,143,27,292,35
Haitham Mahgoub,m,africa,14_3,143,30,324,41
Matthew Smith,m,africa,14_3,143,25,343,42
Frederik Engelbrecht,m,africa,14_3,143,29,380,49
Alan Foulis,m,africa,14_3,144,21,89,8
Karim Maamoun,m,africa,14_3,144,20,234,27
Quinton Z Van Rooyen,m,africa,14_3,144,24,323,40
Andrew Martin,m,africa,14_3,145,17,183,18
Jason Smith,m,africa,14_3,146,13,21,1
Kyle Howard,m,africa,14_3,146,14,226,25
Jean-Claude Jar dim,m,africa,14_3,148,9,38,2
Jaco Van der Vyver,m,africa,14_3,148,10,59,5
David Levey,m,africa,14_3,148,11,68,7
Brendon Bantjes,m,africa,14_3,149,8,313,38
Grant Bydawell,m,africa,14_3,151,7,247,30
Louis Achadinha,m,africa,14_3,152,3,104,10
Leon Manders,m,africa,14_3,152,3,139,12
JP Knipe,m,africa,14_3,152,5,407,52
Mohamed Abou Auf,m,africa,14_3,153,2,64,6
Johann Werth,m,africa,14_3,164,1,45,3
JP Knipe,m,africa,14_4,182,158,407,52
Hannes du Toit,m,africa,14_4,183,133,313,38
Haitham Mahgoub,m,africa,14_4,184,128,324,41
Mourad Gaber,m,africa,14_4,184,110,460,60
Karim Maamoun,m,africa,14_4,185,100,234,27
Cillie Malan,m,africa,14_4,185,96,242,28
Jacques Du Toit,m,africa,14_4,185,94,352,43
Nicholas Bordalo,m,africa,14_4,185,98,397,51
Jannus Du Preez,m,africa,14_4,185,107,423,54
Andrew Martin,m,africa,14_4,186,76,183,18
Nico van der Walt,m,africa,14_4,186,77,292,35
Pierre Ferreira,m,africa,14_4,186,89,352,43
Muhammad Al Deeb,m,africa,14_4,186,75,360,46
Ben Schempers,m,africa,14_4,186,79,383,50
Felix Malan,m,africa,14_4,186,84,449,59
Cameron Mitchell,m,africa,14_4,187,57,175,16
Brendon Bantjes,m,africa,14_4,187,60,313,38
Quinton Z Van Rooyen,m,africa,14_4,187,66,323,40
Tyron Hatch,m,africa,14_4,187,65,358,45
Adham Salloum,m,africa,14_4,187,64,363,47
Chris Seymour,m,africa,14_4,187,59,421,53
Paul Hofman,m,africa,14_4,187,62,442,56
Ludwig Viljoen,m,africa,14_4,187,68,448,58
Kyle Howard,m,africa,14_4,188,45,226,25
Andre Olivier,m,africa,14_4,188,47,242,28
Mark Lubbe,m,africa,14_4,188,55,370,48
werner olivier,m,africa,14_4,188,53,442,56
Mohamed Abou Auf,m,africa,14_4,189,35,64,6
Leon Manders,m,africa,14_4,189,37,139,12
Jean du Plessis,m,africa,14_4,189,43,231,26
Antony Swanepoel,m,africa,14_4,189,39,247,30
Frik OCallaghan,m,africa,14_4,189,36,310,37
Matthew Smith,m,africa,14_4,189,42,343,42
Gregory Dalton,m,africa,14_4,190,31,271,32
Brandon Graham,m,africa,14_4,190,30,284,33
Carl Du Plessis,m,africa,14_4,191,27,135,11
Louis Achadinha,m,africa,14_4,192,25,104,10
Brad Wolff,m,africa,14_4,193,24,154,14
Billy Pullen,m,africa,14_4,193,21,196,21
Sean Tangney,m,africa,14_4,193,20,215,23
Grant Moseby,m,africa,14_4,193,22,306,36
Dean Shaw,m,africa,14_4,194,19,103,9
Garth High,m,africa,14_4,194,18,185,19
Jaco Van der Vyver,m,africa,14_4,195,16,59,5
Julian Reichman,m,africa,14_4,195,17,440,55
Alan Foulis,m,africa,14_4,196,14,89,8
Grant Bydawell,m,africa,14_4,196,15,247,30
Estian Ferreira,m,africa,14_4,197,13,147,13
Roman Chausse,m,africa,14_4,198,10,178,17
Pierre Oelofsen,m,africa,14_4,198,11,289,34
Frederik Engelbrecht,m,africa,14_4,198,12,380,49
Ivan Kruger,m,africa,14_4,199,9,187,20
Wade Bothwell,m,africa,14_4,200,8,220,24
David Levey,m,africa,14_4,201,7,68,7
Jean-Claude Jar dim,m,africa,14_4,202,6,38,2
Gerhard van der Merwe,m,africa,14_4,206,5,206,22
Andre Gadney,m,africa,14_4,209,4,155,15
Richard Smith,m,africa,14_4,211,3,55,4
Jason Smith,m,africa,14_4,212,2,21,1
Johann Werth,m,africa,14_4,219,1,45,3
Jason Smith,m,africa,14_5,NA,1,21,1
Billy Pullen,m,africa,14_5,NA,2,196,21
Alan Foulis,m,africa,14_5,NA,3,89,8
Mohamed Abou Auf,m,africa,14_5,NA,4,64,6
Jean-Claude Jar dim,m,africa,14_5,NA,5,38,2
Jaco Van der Vyver,m,africa,14_5,NA,6,59,5
Nicholas Bordalo,m,africa,14_5,NA,7,397,51
Louis Achadinha,m,africa,14_5,NA,8,104,10
Julian Reichman,m,africa,14_5,NA,9,440,55
Richard Smith,m,africa,14_5,NA,10,55,4
Garth High,m,africa,14_5,NA,11,185,19
Johann Werth,m,africa,14_5,NA,12,45,3
Dean Shaw,m,africa,14_5,NA,12,103,9
Hannes du Toit,m,africa,14_5,NA,15,313,38
Brad Wolff,m,africa,14_5,NA,16,154,14
Kyle Howard,m,africa,14_5,NA,17,226,25
Frik OCallaghan,m,africa,14_5,NA,18,310,37
Gregory Dalton,m,africa,14_5,NA,22,271,32
Frederik Engelbrecht,m,africa,14_5,NA,22,380,49
Andre Olivier,m,africa,14_5,NA,25,242,28
Carl Du Plessis,m,africa,14_5,NA,26,135,11
Paul Hofman,m,africa,14_5,NA,26,442,56
Cameron Mitchell,m,africa,14_5,NA,29,175,16
Andrew Martin,m,africa,14_5,NA,30,183,18
Antony Swanepoel,m,africa,14_5,NA,31,247,30
Andre Gadney,m,africa,14_5,NA,32,155,15
Leon Manders,m,africa,14_5,NA,33,139,12
David Levey,m,africa,14_5,NA,35,68,7
Cillie Malan,m,africa,14_5,NA,36,242,28
Brandon Graham,m,africa,14_5,NA,38,284,33
Mourad Gaber,m,africa,14_5,NA,38,460,60
Gerhard van der Merwe,m,africa,14_5,NA,41,206,22
Quinton Z Van Rooyen,m,africa,14_5,NA,43,323,40
Karim Maamoun,m,africa,14_5,NA,44,234,27
Estian Ferreira,m,africa,14_5,NA,49,147,13
Haitham Mahgoub,m,africa,14_5,NA,50,324,41
Felix Malan,m,africa,14_5,NA,59,449,59
Jean du Plessis,m,africa,14_5,NA,60,231,26
Tyron Hatch,m,africa,14_5,NA,61,358,45
Matthew Smith,m,africa,14_5,NA,63,343,42
Ivan Kruger,m,africa,14_5,NA,64,187,20
Adham Salloum,m,africa,14_5,NA,64,363,47
Ben Schempers,m,africa,14_5,NA,66,383,50
Jacques Du Toit,m,africa,14_5,NA,70,352,43
werner olivier,m,africa,14_5,NA,71,442,56
Grant Moseby,m,africa,14_5,NA,74,306,36
Wade Bothwell,m,africa,14_5,NA,75,220,24
Chris Seymour,m,africa,14_5,NA,75,421,53
Ludwig Viljoen,m,africa,14_5,NA,75,448,58
Sean Tangney,m,africa,14_5,NA,78,215,23
Pierre Oelofsen,m,africa,14_5,NA,81,289,34
Nico van der Walt,m,africa,14_5,NA,81,292,35
JP Knipe,m,africa,14_5,NA,86,407,52
Roman Chausse,m,africa,14_5,NA,103,178,17
Pierre Ferreira,m,africa,14_5,NA,106,352,43
Muhammad Al Deeb,m,africa,14_5,NA,109,360,46
Jannus Du Preez,m,africa,14_5,NA,133,423,54
Brendon Bantjes,m,africa,14_5,NA,134,313,38
Mark Lubbe,m,africa,14_5,NA,162,370,48
Grant Bydawell,m,africa,14_5,NA,164,247,30
Timmy Jacobsson,m,asia,14_1,306,225,313,32
zohar lipkin,m,asia,14_1,308,194,389,45
Charlie Orantes,m,asia,14_1,308,194,415,55
Jason Duckett,m,asia,14_1,309,178,403,51
Naoya Arasaki,m,asia,14_1,309,178,485,59
moshiko grif,m,asia,14_1,311,158,477,58
David ben David,m,asia,14_1,312,145,428,56
Ivan Marjanovic,m,asia,14_1,314,136,392,47
Young Hoon Choi,m,asia,14_1,315,117,273,26
Shingo Moromasa,m,asia,14_1,318,110,357,42
Neil Seip,m,asia,14_1,318,110,389,45
Saud Alshamsi,m,asia,14_1,321,103,410,52
Ron Harvey,m,asia,14_1,324,98,305,31
Sumin Kim,m,asia,14_1,327,93,410,52
Eric Sweet,m,asia,14_1,328,88,133,9
Clay Braden,m,asia,14_1,328,88,394,48
Myung Sik kwak,m,asia,14_1,329,84,485,59
Ed Haynes,m,asia,14_1,334,78,283,29
cho jae chul,m,asia,14_1,340,72,336,38
Jono Whitehead,m,asia,14_1,341,71,232,18
Albert Holguin,m,asia,14_1,344,67,148,11
Henrik Olofsson,m,asia,14_1,345,59,170,13
ates boran,m,asia,14_1,345,59,290,30
Henrik Gjeruldsen,m,asia,14_1,345,59,337,39
Yong Jun Lee,m,asia,14_1,345,59,368,44
Luke Holmes,m,asia,14_1,346,53,355,41
Joon Hwan Heo,m,asia,14_1,346,53,399,50
sungwook yoo,m,asia,14_1,347,48,330,36
Sul Min Choi,m,asia,14_1,347,48,396,49
Young-Jun Kim,m,asia,14_1,349,41,257,23
AbdulRahman Bin Ghobash,m,asia,14_1,349,41,266,25
YooSik Kim,m,asia,14_1,350,36,121,6
baek min jong,m,asia,14_1,350,36,212,16
Joseph Mozzi,m,asia,14_1,351,34,251,21
Phil Hesketh,m,asia,14_1,352,27,124,7
Jordan Reiley,m,asia,14_1,352,27,236,19
Utku Tuncer,m,asia,14_1,352,27,255,22
John Britton,m,asia,14_1,352,27,366,43
Marcus Smith,m,asia,14_1,354,23,198,14
Youngmin Kang,m,asia,14_1,354,23,328,35
BEN DAVIES,m,asia,14_1,354,23,433,57
Ant Haynes,m,asia,14_1,355,19,132,8
PARK Hyoung-Jae,m,asia,14_1,355,19,261,24
Yeojoon choi,m,asia,14_1,355,19,280,28
Ram Dover,m,asia,14_1,355,19,339,40
Rashed Almulla,m,asia,14_1,356,17,319,33
Eric Carmody,m,asia,14_1,357,16,28,3
Austin Hiracheta,m,asia,14_1,358,14,213,17
Taylor Rank,m,asia,14_1,359,13,241,20
Subok Lee,m,asia,14_1,360,12,136,10
Israel Shamli,m,asia,14_1,363,10,150,12
Gwan Yoon,m,asia,14_1,363,10,321,34
Marwan Al-Marri,m,asia,14_1,364,9,273,26
William Sullivan,m,asia,14_1,370,8,410,52
Mikko Aronpää,m,asia,14_1,376,6,25,2
Ryan Bayliss,m,asia,14_1,376,6,332,37
Cho dae hee,m,asia,14_1,377,5,206,15
Tanner Shuck,m,asia,14_1,390,4,22,1
Ben Thompson,m,asia,14_1,391,3,30,4
Michael Mogard,m,asia,14_1,396,1,51,5
BEN DAVIES,m,asia,14_2,132,271,433,57
Ryan Bayliss,m,asia,14_2,141,168,332,37
Ivan Marjanovic,m,asia,14_2,142,158,392,47
William Sullivan,m,asia,14_2,172,136,410,52
Rashed Almulla,m,asia,14_2,173,133,319,33
AbdulRahman Bin Ghobash,m,asia,14_2,176,118,266,25
Myung Sik kwak,m,asia,14_2,176,118,485,59
Saud Alshamsi,m,asia,14_2,177,114,410,52
Marcus Smith,m,asia,14_2,178,110,198,14
Henrik Gjeruldsen,m,asia,14_2,178,110,337,39
Shingo Moromasa,m,asia,14_2,184,91,357,42
Ed Haynes,m,asia,14_2,185,88,283,29
John Britton,m,asia,14_2,185,88,366,43
baek min jong,m,asia,14_2,186,79,212,16
Charlie Orantes,m,asia,14_2,188,70,415,55
Gwan Yoon,m,asia,14_2,190,69,321,34
PARK Hyoung-Jae,m,asia,14_2,191,61,261,24
Ant Haynes,m,asia,14_2,192,54,132,8
Jono Whitehead,m,asia,14_2,192,54,232,18
Marwan Al-Marri,m,asia,14_2,192,54,273,26
Young Hoon Choi,m,asia,14_2,192,54,273,26
Henrik Olofsson,m,asia,14_2,193,45,170,13
Joseph Mozzi,m,asia,14_2,193,45,251,21
zohar lipkin,m,asia,14_2,193,45,389,45
Jason Duckett,m,asia,14_2,193,45,403,51
Naoya Arasaki,m,asia,14_2,193,45,485,59
cho jae chul,m,asia,14_2,194,42,336,38
Utku Tuncer,m,asia,14_2,196,38,255,22
Sumin Kim,m,asia,14_2,196,38,410,52
David ben David,m,asia,14_2,196,38,428,56
Ron Harvey,m,asia,14_2,197,32,305,31
Timmy Jacobsson,m,asia,14_2,197,32,313,32
Ram Dover,m,asia,14_2,197,32,339,40
Yong Jun Lee,m,asia,14_2,197,32,368,44
moshiko grif,m,asia,14_2,197,32,477,58
Jordan Reiley,m,asia,14_2,198,29,236,19
Yeojoon choi,m,asia,14_2,198,29,280,28
Subok Lee,m,asia,14_2,199,27,136,10
Phil Hesketh,m,asia,14_2,200,25,124,7
Clay Braden,m,asia,14_2,200,25,394,48
Albert Holguin,m,asia,14_2,202,22,148,11
Sul Min Choi,m,asia,14_2,202,22,396,49
Joon Hwan Heo,m,asia,14_2,202,22,399,50
Israel Shamli,m,asia,14_2,205,20,150,12
sungwook yoo,m,asia,14_2,206,18,330,36
Neil Seip,m,asia,14_2,206,18,389,45
Young-Jun Kim,m,asia,14_2,207,16,257,23
Luke Holmes,m,asia,14_2,236,14,355,41
Taylor Rank,m,asia,14_2,244,13,241,20
ates boran,m,asia,14_2,247,12,290,30
Ben Thompson,m,asia,14_2,253,10,30,4
YooSik Kim,m,asia,14_2,253,10,121,6
Youngmin Kang,m,asia,14_2,254,9,328,35
Cho dae hee,m,asia,14_2,256,8,206,15
Eric Carmody,m,asia,14_2,262,6,28,3
Mikko Aronpää,m,asia,14_2,266,5,25,2
Eric Sweet,m,asia,14_2,268,4,133,9
Tanner Shuck,m,asia,14_2,269,1,22,1
Michael Mogard,m,asia,14_2,269,1,51,5
Austin Hiracheta,m,asia,14_2,269,1,213,17
Luke Holmes,m,asia,14_3,130,256,355,41
Sul Min Choi,m,asia,14_3,131,222,396,49
sungwook yoo,m,asia,14_3,132,200,330,36
Joon Hwan Heo,m,asia,14_3,132,196,399,50
Young-Jun Kim,m,asia,14_3,134,145,257,23
Marwan Al-Marri,m,asia,14_3,134,159,273,26
Yeojoon choi,m,asia,14_3,134,153,280,28
Clay Braden,m,asia,14_3,134,150,394,48
Naoya Arasaki,m,asia,14_3,134,147,485,59
ates boran,m,asia,14_3,135,128,290,30
Yong Jun Lee,m,asia,14_3,135,132,368,44
Cho dae hee,m,asia,14_3,136,98,206,15
Taylor Rank,m,asia,14_3,136,120,241,20
cho jae chul,m,asia,14_3,136,102,336,38
William Sullivan,m,asia,14_3,136,100,410,52
David ben David,m,asia,14_3,136,110,428,56
Neil Seip,m,asia,14_3,137,92,389,45
Ed Haynes,m,asia,14_3,138,81,283,29
Gwan Yoon,m,asia,14_3,138,77,321,34
Youngmin Kang,m,asia,14_3,138,82,328,35
Ram Dover,m,asia,14_3,138,88,339,40
Jason Duckett,m,asia,14_3,138,80,403,51
Sumin Kim,m,asia,14_3,138,83,410,52
Myung Sik kwak,m,asia,14_3,138,84,485,59
Austin Hiracheta,m,asia,14_3,139,71,213,17
Utku Tuncer,m,asia,14_3,139,69,255,22
PARK Hyoung-Jae,m,asia,14_3,139,72,261,24
Rashed Almulla,m,asia,14_3,139,65,319,33
Shingo Moromasa,m,asia,14_3,139,70,357,42
moshiko grif,m,asia,14_3,139,64,477,58
Jono Whitehead,m,asia,14_3,140,59,232,18
Charlie Orantes,m,asia,14_3,140,57,415,55
Subok Lee,m,asia,14_3,141,48,136,10
Jordan Reiley,m,asia,14_3,141,54,236,19
AbdulRahman Bin Ghobash,m,asia,14_3,141,51,266,25
Young Hoon Choi,m,asia,14_3,141,52,273,26
Saud Alshamsi,m,asia,14_3,141,47,410,52
Ivan Marjanovic,m,asia,14_3,142,41,392,47
Michael Mogard,m,asia,14_3,143,38,51,5
John Britton,m,asia,14_3,143,35,366,43
zohar lipkin,m,asia,14_3,143,39,389,45
YooSik Kim,m,asia,14_3,144,33,121,6
Ant Haynes,m,asia,14_3,144,34,132,8
Phil Hesketh,m,asia,14_3,145,29,124,7
Ryan Bayliss,m,asia,14_3,145,28,332,37
Eric Sweet,m,asia,14_3,146,20,133,9
Israel Shamli,m,asia,14_3,146,22,150,12
Henrik Gjeruldsen,m,asia,14_3,146,24,337,39
BEN DAVIES,m,asia,14_3,146,21,433,57
Albert Holguin,m,asia,14_3,147,16,148,11
Joseph Mozzi,m,asia,14_3,148,14,251,21
Ron Harvey,m,asia,14_3,148,15,305,31
Henrik Olofsson,m,asia,14_3,149,12,170,13
baek min jong,m,asia,14_3,150,10,212,16
Timmy Jacobsson,m,asia,14_3,150,9,313,32
Mikko Aronpää,m,asia,14_3,152,7,25,2
Marcus Smith,m,asia,14_3,162,4,198,14
Eric Carmody,m,asia,14_3,165,3,28,3
Tanner Shuck,m,asia,14_3,167,2,22,1
Ben Thompson,m,asia,14_3,175,1,30,4
Youngmin Kang,m,asia,14_4,185,211,328,35
Gwan Yoon,m,asia,14_4,187,159,321,34
Henrik Gjeruldsen,m,asia,14_4,188,131,337,39
Neil Seip,m,asia,14_4,190,105,389,45
Cho dae hee,m,asia,14_4,191,85,206,15
Ron Harvey,m,asia,14_4,191,89,305,31
Sumin Kim,m,asia,14_4,191,86,410,52
David ben David,m,asia,14_4,191,93,428,56
Myung Sik kwak,m,asia,14_4,191,97,485,59
Austin Hiracheta,m,asia,14_4,192,75,213,17
Jordan Reiley,m,asia,14_4,192,81,236,19
Joseph Mozzi,m,asia,14_4,192,67,251,21
Sul Min Choi,m,asia,14_4,192,72,396,49
Joon Hwan Heo,m,asia,14_4,192,79,399,50
William Sullivan,m,asia,14_4,192,76,410,52
Saud Alshamsi,m,asia,14_4,192,76,410,52
moshiko grif,m,asia,14_4,192,78,477,58
baek min jong,m,asia,14_4,193,59,212,16
PARK Hyoung-Jae,m,asia,14_4,193,58,261,24
Ryan Bayliss,m,asia,14_4,193,57,332,37
Charlie Orantes,m,asia,14_4,193,61,415,55
Young-Jun Kim,m,asia,14_4,194,49,257,23
Rashed Almulla,m,asia,14_4,194,52,319,33
Ram Dover,m,asia,14_4,194,48,339,40
zohar lipkin,m,asia,14_4,194,50,389,45
Albert Holguin,m,asia,14_4,195,40,148,11
Israel Shamli,m,asia,14_4,195,43,150,12
Marcus Smith,m,asia,14_4,195,38,198,14
Yeojoon choi,m,asia,14_4,195,42,280,28
cho jae chul,m,asia,14_4,195,45,336,38
Yong Jun Lee,m,asia,14_4,195,36,368,44
BEN DAVIES,m,asia,14_4,195,41,433,57
Subok Lee,m,asia,14_4,196,30,136,10
Henrik Olofsson,m,asia,14_4,196,28,170,13
AbdulRahman Bin Ghobash,m,asia,14_4,196,29,266,25
Timmy Jacobsson,m,asia,14_4,196,32,313,32
Jason Duckett,m,asia,14_4,196,33,403,51
YooSik Kim,m,asia,14_4,197,22,121,6
Utku Tuncer,m,asia,14_4,197,25,255,22
Marwan Al-Marri,m,asia,14_4,197,27,273,26
sungwook yoo,m,asia,14_4,197,24,330,36
John Britton,m,asia,14_4,197,21,366,43
Naoya Arasaki,m,asia,14_4,197,23,485,59
Jono Whitehead,m,asia,14_4,198,18,232,18
Taylor Rank,m,asia,14_4,199,16,241,20
Ed Haynes,m,asia,14_4,199,15,283,29
Clay Braden,m,asia,14_4,199,17,394,48
Eric Sweet,m,asia,14_4,200,12,133,9
Luke Holmes,m,asia,14_4,200,14,355,41
Shingo Moromasa,m,asia,14_4,200,12,357,42
Ivan Marjanovic,m,asia,14_4,200,11,392,47
Young Hoon Choi,m,asia,14_4,202,10,273,26
ates boran,m,asia,14_4,204,9,290,30
Ant Haynes,m,asia,14_4,208,8,132,8
Mikko Aronpää,m,asia,14_4,218,6,25,2
Phil Hesketh,m,asia,14_4,221,5,124,7
Tanner Shuck,m,asia,14_4,231,4,22,1
